No,Nama Kopi,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1,FREE AIR,1273,264,541,1837,202,1265,325,1330,237
2,FREE AIR,1436,309,471,1752,205,1517,356,1138,221
3,FREE AIR,1430,302,459,1751,206,1512,352,1136,224
4,FREE AIR,1433,302,468,1746,206,1513,361,1133,224
5,FREE AIR,1434,307,470,1747,206,1507,360,1128,224
6,FREE AIR,1459,321,520,1872,230,1578,356,1237,250
7,FREE AIR,1458,323,522,1870,230,1573,354,1231,251
8,FREE AIR,1484,254,522,1851,209,1589,410,1193,248
9,FREE AIR,1485,255,519,1843,209,1587,408,1192,247
10,FREE AIR,1366,269,461,1699,194,1476,361,1093,210
11,FREE AIR,1363,268,465,1696,196,1480,363,1091,203
12,KAPAL API,1707,595,427,1714,159,1659,1052,1128,175
13,KAPAL API,1712,598,429,1713,161,1660,1048,1124,177
14,KAPAL API,1714,598,428,1706,161,1665,1045,1122,177
15,KAPAL API,1989,812,483,1817,201,1979,1225,1306,199
16,KAPAL API,1990,811,484,1811,202,1979,1231,1298,199
17,KAPAL API,1990,813,480,1809,203,1974,1227,1297,197
18,KAPAL API,1820,685,408,1726,162,1760,1088,1116,177
19,KAPAL API,1822,687,410,1726,157,1768,1095,1117,178
20,KAPAL API,1817,685,408,1722,160,1760,1089,1120,173
21,KAPAL API,1703,595,399,1695,185,1597,1019,1050,180
22,KAPAL API,1704,595,396,1693,183,1593,1020,1047,177
23,KAPAL API,1708,596,398,1700,180,1599,1029,1042,180
24,KAPAL API,1885,702,403,1773,181,2085,1296,1068,187
25,KAPAL API,1885,705,402,1771,173,2091,1295,1065,185
26,KAPAL API,1880,711,396,1772,173,2089,1294,1067,181
27,SINGA R-JAVA,3173,1205,745,2729,397,3899,2570,1820,302
28,SINGA R-JAVA,3177,1209,745,2733,402,3908,2573,1827,300
29,SINGA R-JAVA,3175,1203,756,2731,394,3893,2570,1819,304
30,SINGA R-JAVA,3098,1186,695,2598,352,3955,2496,1839,277
31,SINGA R-JAVA,3083,1183,689,2603,345,3945,2501,1839,273
32,SINGA R-JAVA,3089,1183,693,2604,351,3954,2488,1841,276
33,SINGA R-JAVA,3170,1187,675,2590,344,4063,2497,1829,266
34,SINGA R-JAVA,3163,1192,676,2598,343,4064,2499,1825,261
35,SINGA R-JAVA,3166,1192,670,2594,341,4069,2495,1828,261
36,SINGA R-JAVA,3014,1098,614,2450,309,3817,2472,1703,235
37,SINGA R-JAVA,3019,1100,613,2452,306,3829,2468,1708,236
38,SINGA R-JAVA,3013,1102,618,2456,307,3837,2468,1707,233
39,DAMPIT-PM,2646,902,458,2224,298,3188,2055,1232,228
40,DAMPIT-PM,2660,905,455,2227,299,3193,2057,1236,229
41,DAMPIT-PM,2668,919,455,2235,303,3216,2070,1232,230
42,DAMPIT-PM,2670,919,457,2235,299,3216,2078,1236,227
43,DAMPIT-PM,2539,835,509,2292,335,2948,1903,1375,253
44,DAMPIT-PM,2544,838,511,2292,345,2954,1909,1377,253
45,DAMPIT-PM,2599,879,507,2319,347,3058,1990,1381,250
46,DAMPIT-PM,2604,878,507,2320,344,3070,2000,1379,250
